AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE,COUNTRY_CODE,CONS_2016,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,SHARE_OF_CONS_2016
Algeria,1861385078,640700333,2502085411,DZA,Africa,AFR,DZA,101466.438562272,0.06168193777720084,0.031126034136977024,0.04929128238621744,0.2536443870537248
Angola,1150205281,4837765410,5987970691,AGO,Africa,AFR,AGO,70692.1076939498,0.03811510654736741,0.23502477452020717,0.11796350074736701,0.1767151442352379
Botswana,268124408,8630334,276754742,BWA,Africa,AFR,BWA,10251.7865990858,0.008885014308041428,0.00041927256294638677,0.005452090516044639,0.025627273066599714
Cameroon,79788926,6461430,86250356,CMR,Africa,AFR,CMR,26806.2427965868,0.002644017955773943,0.00031390445797331503,0.0016991389002218933,0.06700987163534618
Congo,150066676,357560929,507627605,COG,Africa,AFR,COG,6823.3086174352,0.004972857836278065,0.01737076306795554,0.010000304352157964,0.017056811655861835
Cote D'Ivoire (Ivory Coast),220606634,974604214,1195210848,CIV,Africa,AFR,CIV,36731.0053207733,0.007310386675199143,0.047347507832504375,0.023545749142229587,0.09181965448345618
Egypt,8767917284,1534529740,10302447024,EGY,Africa,AFR,EGY,255431.1846490547,0.29054822386801776,0.07454939947947004,0.202959029014949,0.6385233105915524
Equatorial Guinea,1453656405,996256824,2449913229,GNQ,Africa,AFR,GNQ,8214.3838604741,0.048170765406038915,0.04839941906666733,0.04826348623491047,0.020534202134583217
Gabon,164742260,17355153,182097413,GAB,Africa,AFR,GAB,7724.5302502123,0.005459172285572304,0.000843135326933659,0.0035873335764326805,0.019309672916041125
Ghana,1440613079,587065014,2027678093,GHA,Africa,AFR,GHA,44807.4212404727,0.047738540160307284,0.02852036236789172,0.03994542034057281,0.11200896628516951
Kenya,767356551,286293579,1053650130,KEN,Africa,AFR,KEN,66598.2640293494,0.025428397160337308,0.013908504887808959,0.02075699169411956,0.1664814109760966
Libya,68428152,4444881,72873033,LBY,Africa,AFR,LBY,48885.611228567,0.0022675485388589972,0.00021593795197980735,0.0014356045689533586,0.1222035687022434
Mauritius,547541520,3157899123,3705440643,MUS,Africa,AFR,MUS,10887.3240163132,0.018144242352776594,0.15341474140240194,0.07299747654356957,0.027215980632633176
Morocco,1460472297,1311950999,2772423296,MAR,Africa,AFR,MAR,80341.7716718382,0.048396628088193776,0.0637362421675456,0.05461696030698118,0.2008372395765835
Mozambique,124233254,256287264,380520518,MOZ,Africa,AFR,MOZ,10975.5297707367,0.004116798793359182,0.012450760078091675,0.007496284588858801,0.02743647614654273
Namibia,70589448,1982338,72571786,NAM,Africa,AFR,NAM,10927.574566483,0.0023391688215000043,9.630449225789111e-05,0.001429669978999027,0.02731659839621151
Nigeria,3645309367,7076611353,10721920720,NGA,Africa,AFR,NGA,350182.546361129,0.12079700660087775,0.34379074772167656,0.21122269432078786,0.8753814422506747
Senegal,49085128,86120487,135205615,SEN,Africa,AFR,SEN,16303.2373545305,0.001626566070001523,0.004183842398994174,0.0026635614115601415,0.04075460521109557
South Africa,23237577897,5810363430,29047941327,ZAF,Africa,AFR,ZAF,237307.939576745,0.7700388548702072,0.28227481890574097,0.5722467635967654,0.5932190754875556
Tanzania,81276128,207166857,288442985,TZA,Africa,AFR,TZA,35210.8489975075,0.002693300343556214,0.0100644284557165,0.005682349836441488,0.0880195889218374
Tunisia,326719479,218319525,545039004,TUN,Africa,AFR,TUN,38586.5054856381,0.010826717594583334,0.010606239200937966,0.01073731189972823,0.09645800790025003
Uganda,142649694,18602994,161252688,UGA,Africa,AFR,UGA,24164.1145313824,0.004727076440678729,0.0009037570241031523,0.0031766908294980733,0.06040511627149451
Zambia,342266764,181502523,523769287,ZMB,Africa,AFR,ZMB,14140.3999521836,0.011341918171459566,0.008817622585573805,0.01031829677645835,0.035347974457238286
Zimbabwe,50516927,264014632,314531559,ZWE,Africa,AFR,ZWE,20850.865043,0.0016740125322469122,0.01282616540842882,0.00619629682739324,0.052122701440101185
Argentina,24958390377,8436916440,33395306816,ARG,America,AMR,ARG,464850.7633813206,0.8270625462987631,0.4098760927634209,0.6578902108637202,1.1620274508496655
Aruba,360224979,251287953,611512932,ABW,America,AMR,ABW,2327.9497206704,0.011937011316511412,0.012207887214082464,0.012046853589218176,0.005819376222897084
Bahamas,1668864600,15090141560,16759006160,BHS,America,AMR,BHS,9034.488083,0.055302260468520395,0.7330982007283828,0.3301537595452283,0.022584287224690042
Barbados,169456556,8508330063,8677786619,BRB,America,AMR,BRB,4414.07,0.00561539300312944,0.4133454570712793,0.170953089308616,0.011034230583298844
Bermuda,10284076940,65875412371,76159489311,BMU,America,AMR,BMU,4205.443,0.3407902004837206,3.2003110169246383,1.500348020700965,0.010512707720294435
Bolivia,533624155,218602926,752227081,BOL,America,AMR,BOL,29314.0955137482,0.017683053503624018,0.010620007180672188,0.014818933560430347,0.07327896685814766
Brazil,119670358006,21894347981,141564705987,BRA,America,AMR,BRA,1519709.163667677,3.965595117068753,1.0636551716345994,2.7888360117723674,3.7989477582959474
Canada,266641951018,94130628152,360772579170,CAN,America,AMR,CAN,1215447.745624133,8.83588915903177,4.572985207414029,7.107248617050691,3.0383593117389265
Chile,24130621383,4678723707,28809345090,CHL,America,AMR,CHL,193286.8257296603,0.7996322224043303,0.2272983270348412,0.567546398676147,0.48317570945068206
Colombia,15749650544,4551550288,20301200832,COL,America,AMR,COL,236444.410952633,0.5219064965920314,0.2211200811728868,0.39993527742503765,0.5910604386843942
Costa Rica,4736210202,4685525427,9421735629,CRI,America,AMR,CRI,47530.3520342483,0.15694690283721494,0.22762876321226425,0.18560894420934898,0.11881571068226447
Curacao,341730743,286720869,628451612,CUW,America,AMR,CUW,2564.3153418994,0.011324155692131646,0.01392926317751378,0.012380546937758216,0.00641023970412993
Dominican Republic,1405829625,1390776393,2796606018,DOM,America,AMR,DOM,61147.6191355033,0.0465858980387698,0.06756567970352494,0.055093361861352184,0.15285596493958642
Ecuador,3030046516,847361181,3877407697,ECU,America,AMR,ECU,74486.286,0.10040863810015788,0.041165880034208076,0.0763852412388012,0.1861997782132011
El Salvador,2420676574,1116786446,3537463020,SLV,America,AMR,SLV,24175.56,0.08021554678875302,0.05425490085067468,0.06968830395759082,0.060433727494211976
Guatemala,3446896897,601213652,4048110549,GTM,America,AMR,GTM,62753.7646443016,0.11422208249011256,0.029207721132507393,0.07974810105368729,0.15687098506713543
Honduras,2088655741,1599231791,3687887532,HND,America,AMR,HND,19765.2834030225,0.06921315475075238,0.07769270711399007,0.07265167885526772,0.049408979606848084
