AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,CONS_2016_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2016_y,SHARE_OF_CONS_2016
ABW,Aruba,360224979.0,251287953.0,611512932.0,ABW,2327.9497206704,0.005602280808168009,0.00722731455337508,0.0061716559479618885,2327.9497206704,0.004140174192532675
AFG,Afghanistan,151406.2,8970.933,160377.133,AFG,18591.8631238794,2.3546952542056986e-06,2.580137800249134e-07,1.618596165349002e-06,18591.8631238794,0.033064954630729164
AGO,Angola,2815481572.274,7566013154.898,10379753192.352,AGO,70692.1076939498,0.043786853487751395,0.2176067588302636,0.1047570086840872,70692.1076939498,0.12572335102063395
ALB,Albania,87426526.691,10278267.524,97704794.215,ALB,10939.7727699116,0.0013596723746516688,0.00029561414135793315,0.0009860795132970257,10939.7727699116,0.019455989316262554
AND,Andorra,23176.792,0.0,23176.792,AND,2236.3782152844,3.60449454052163e-07,0.0,2.3391032097008137e-07,2236.3782152844,0.0039773175895724934
ARE,United Arab Emirates,27432860824.767002,13319717256.416,40752578082.291,ARE,173959.2056623554,0.4266405681759682,0.38308954020623726,0.41129284068248056,173959.2056623554,0.309380141435941
ARG,Argentina,55618568699.311005,13391349003.38,68993675689.235,ARG,464850.7633813206,0.8649895431097353,0.3851497470770242,0.6963143486542338,464850.7633813206,0.8267202323322614
ARM,Armenia,2436042.0,31969704.0,34405746.0,ARM,9465.9816118999,3.788574402135287e-05,0.0009194834222167965,0.00034723783559325607,9465.9816118999,0.01683490516508694
AUS,Australia,132303765341.721,27583527707.723,159887294099.324,AUS,987167.8585509878,2.0576109060507086,0.7933322264575542,1.6136524969379142,987167.8585509878,1.7556422526572277
AUT,Austria,31552527707.388,12490704576.602,44043232394.784,AUT,284465.1076590921,0.4907103358434485,0.35924623481008794,0.4445035631343548,284465.1076590921,0.5059108824167556
AZE,Azerbaijan,1514965895.296,28486254.0,1543452149.296,AZE,27090.2522967973,0.0235610100771103,0.0008192956154381945,0.015577194101918388,27090.2522967973,0.04817903171727436
BEL,Belgium,143128338636.586,114147773195.98799,257234976297.42,BEL,354680.9079498587,2.22595653103978,3.2830139790056787,2.5961278795814704,354680.9079498587,0.6307871379864607
BEN,Benin,255468.2,8150.133,263618.333,BEN,9870.745148741,3.973085369954943e-06,2.3440668022331536e-07,2.6605515071122776e-06,9870.745148741,0.01755476244311491
BFA,Burkina Faso,864336916.665,34420206.212,898757128.4100001,BFA,10942.4562224413,0.013442316336489929,0.000989962528311729,0.009070650001110236,10942.4562224413,0.019460761739314353
BGD,Bangladesh,1405813746.171,134528967.016,1540342713.185,BGD,165285.9150151391,0.02186345708700164,0.003869199257495854,0.015545812312809697,165285.9150151391,0.2939550084173469
BGR,Bulgaria,3413120647.897,1990837738.882,5403958375.714,BGR,41078.7830226474,0.05308143914604913,0.057258656421265916,0.05453911128736976,41078.7830226474,0.07305712654396876
BHR,Bahrain,727443241.133,695247257.0,1422690498.133,BHR,20063.2937047872,0.011313322358000442,0.019996066499495917,0.014358414704648294,20063.2937047872,0.03568184058109388
BHS,Bahamas,1669516849.874,15319546411.917,16989063261.791,BHS,9034.488083,0.02596461309520188,0.440606799538666,0.17146105641136833,9034.488083,0.016067509565115923
BIH,Bosnia and Herzegovina,510372403.635,72881315.191,583253715.508,BIH,16757.0700899745,0.00793739937147151,0.00209614581065504,0.005886451576278063,16757.0700899745,0.029801841729208158
BLR,Belarus,770798748.283,63357009.756,834155759.145,BLR,33484.223711792,0.011987594659463568,0.0018222164381587595,0.008418664729814583,33484.223711792,0.05955047810423897
BLZ,Belize,63482.013,0.0,63482.013,BLZ,1645.7007015,9.87283180863957e-07,0.0,6.40688238331555e-07,1645.7007015,0.002926819042733053
BMU,Bermuda,11406324009.444,70048740183.99701,81455064194.19101,BMU,4205.443,0.1773931121246706,2.0146778758526134,0.8220801312926223,4205.443,0.007479227932703424
BOL,Bolivia,2983765440.546,266260475.57,3250025915.033,BOL,29314.0955137482,0.046404033140760685,0.007657940570177796,0.03280068289634094,29314.0955137482,0.05213405626669097
BRA,Brazil,233930670724.475,37743161817.301,271620973665.12003,BRA,1519709.163667677,3.638130011638078,1.0855343419211592,2.741317656568443,1519709.163667677,2.702747659756332
BRB,Barbados,242501447.71899998,8701237983.466,8943739432.185,BRB,4414.07,0.003771424209061059,0.25025705832497214,0.09026412979221482,4414.07,0.007850263489698516
BRN,Brunei Darussalam,222850326.836,6376479.806,229226806.652,BRN,5400.7112882716,0.0034658065984016374,0.0001833944872844983,0.002313457182465809,5400.7112882716,0.00960496925620146
BWA,Botswana,1179096556.481,23598381.273000002,1202694937.754,BWA,10251.7865990858,0.01833751237265113,0.0006787150851216766,0.012138123296750049,10251.7865990858,0.018232430850209397
CAF,Central African Republic,118817129.892,4117665.263,122934791.835,CAF,1796.2462098622,0.0018478644327315158,0.00011842852681921813,0.0012407116833302461,1796.2462098622,0.0031945587722420734
CAN,Canada,310991215394.653,109167763065.062,420158979765.476,CAN,1215447.745624133,4.836588851641819,3.1397834768446904,4.240428175538892,1215447.745624133,2.1616297569158403
CHE,Switzerland,278021009696.961,270035547839.843,548037394003.404,CHE,442586.3548109853,4.32383054394675,7.76651575028553,5.531033058196456,442586.3548109853,0.7871237887508425
CHL,Chile,60460523922.875,10970576514.824001,71431100453.241,CHL,193286.8257296603,0.9402924632411609,0.31552570012977255,0.7209139053525495,193286.8257296603,0.3437536131201527
CHN,China (People's Republic of),512359361047.826,350764470699.912,863093821658.3939,CHN,6182667.931848642,7.968300874780423,10.088367283951653,8.710720312431896,6182667.931848642,10.995650801713893
CIV,Côte d'Ivoire,2973318462.414,1882482133.503,4855827811.836,CIV,36731.0053207733,0.04624155994066577,0.054142231481884066,0.0490071379180521,36731.0053207733,0.06532476150346248
CMR,Cameroon,1982909288.941,182323276.66700003,2165245712.114,CMR,26806.2427965868,0.030838546190246955,0.0052438155317156825,0.02185260667221236,26806.2427965868,0.04767393111618965
COD,Democratic Republic of the Congo,708320800.567,234507365.371,942828165.941,COD,36223.300134863,0.011015926874528887,0.006744686621007557,0.009515434185839543,36223.300134863,0.06442182623408926
COG,Congo,751649175.8479999,1490209256.3049998,2241858432.154,COG,6823.3086174352,0.011689777216500444,0.042860037328042465,0.022625815748556807,6823.3086174352,0.0121350070384921
COL,Colombia,80445869148.749,6881576823.971001,87327445839.866,COL,236444.410952633,1.2511079883453375,0.19792162631072996,0.8813467750800219,236444.410952633,0.4205078140230506
CRI,Costa Rica,9246222191.04,5439302458.267,14685524660.373999,CRI,47530.3520342483,0.14379883725087417,0.15644024851777094,0.1482127374194896,47530.3520342483,0.08453100816864642
CUW,Curacao,341730743.0,286720869.0,628451612.0,CUW,2564.3153418994,0.00531465527011633,0.008246403715501833,0.006342608514460717,2564.3153418994,0.004560541881888288
CYP,Cyprus,2341757706.875,1216080530.119,3557838238.1010003,CYP,16932.0854098941,0.0364194184840395,0.034975797321271235,0.035907259478957815,16932.0854098941,0.030113100131567608
CZE,Czech Republic,24917100497.384003,12607097610.085,37524115335.455,CZE,130222.8662809132,0.3875150310208998,0.36259382491443,0.3787097827099899,130222.8662809132,0.23159664724142232
DEU,Germany,386918430150.962,184767307279.246,571500818657.7489,DEU,2519334.624931811,6.0174219499676305,5.314108507570277,5.767836201269714,2519334.624931811,4.480545307264158
DNK,Denmark,17733355887.204,6420559670.375,24153913314.836,DNK,224007.7286919658,0.2757921997166558,0.18466227207682473,0.2437718566122874,224007.7286919658,0.39838962543884215
DOM,Dominican Republic,3622956498.467,1504644964.533,5127601460.788,DOM,61147.6191355033,0.056344842371936814,0.04327522398111892,0.05174999644038653,61147.6191355033,0.10874882409690648
DZA,Algeria,11051630094.887,1918739048.734,12970369183.466,DZA,101466.438562272,0.17187685138169564,0.05518501975717195,0.13090263824281564,101466.438562272,0.18045438293346994
ECU,Ecuador,8617527705.958,1170275554.685,9787803259.428,ECU,74486.286,0.13402127252520318,0.033658396460549765,0.09878279107845518,74486.286,0.13247115960305153
EGY,Egypt,16998670027.567999,2432693474.061,19431363566.843,EGY,255431.1846490547,0.26436623891044764,0.06996690744256112,0.1961098192021825,255431.1846490547,0.45427510279196176
ESP,Spain,172937781972.527,82218326173.673,255186095417.418,ESP,951891.1084252169,2.689558119043798,2.364688391206427,2.5754496776857665,951891.1084252169,1.6929038313028868
EST,Estonia,907452830.999,416713198.077,1324166029.075,EST,17125.8854012697,0.014112862449284577,0.011985124336801673,0.013364062674360255,17125.8854012697,0.030457766391187354
ETH,Ethiopia,1768096464.534,8881476.777999999,1776977941.32,ETH,55995.2511488304,0.02749774021153746,0.0002554409218857468,0.017934038524870723,55995.2511488304,0.0995855244004201
FIN,Finland,16450321074.234,5176465208.062,21626786310.934002,FIN,187680.760132273,0.25583822170861414,0.1488807636284349,0.21826698567868813,187680.760132273,0.33378342866906224
FJI,Fiji,362270510.26,138534191.65,500804701.18,FJI,3960.7901809215,0.005634093262018984,0.0039843938696579595,0.005054340065542266,3960.7901809215,0.007044121762374506
FRA,France,182273140792.401,70583870487.321,252856095197.376,FRA,1927495.897145805,2.8347432244718758,2.0300688047968496,2.5519342964660368,1927495.897145805,3.4279815834156233
GAB,Gabon,1737479065.6369998,1400855077.7900002,3138334168.878,GAB,7724.5302502123,0.027021573159733185,0.04029011407037507,0.031673440947031256,7724.5302502123,0.013737797044068937
GBR,United Kingdom,626884875125.358,230232231262.817,857092398888.671,GBR,2282494.378618876,9.749421360492585,6.6217291191105145,8.650151329185938,2282494.378618876,4.059333514401418
