AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,CONS_2017_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2017_y,SHARE_OF_CONS_2017
ABW,Aruba,380916916.0,169011203.0,549928119.0,ABW,2416.9106145251,0.002604489948720296,0.002382291747838629,0.0025320869906323143,2416.9106145251,0.004059608092709611
AFG,Afghanistan,162176991.0,5607066.0,167784056.0,AFG,17932.9562962523,0.0011088726313567077,7.903421089421244e-05,0.000772544284888847,17932.9562962523,0.030121417841833708
AGO,Angola,3954168991.977,6712063560.25,10666232581.227001,AGO,85631.1940353788,0.02703632462241599,0.09460966697309375,0.04911156172027534,85631.1940353788,0.14383200032522367
ALB,Albania,244869795.34600002,43985329.842999995,288855127.189,ALB,11861.8108936773,0.0016742782846741653,0.000619993742728043,0.0013300034758410115,11861.8108936773,0.01992390749114454
AND,Andorra,114167835.0,5443764.0,119611599.0,AND,2309.5976650632,0.00078061374077873,7.673239302592861e-05,0.0005507392026204594,2309.5976650632,0.0038793579355586123
ARE,United Arab Emirates,84132898103.132,48580259010.416,132713337471.937,ARE,194803.4791281144,0.5752521829886814,0.6847614128181624,0.6110647986270505,194803.4791281144,0.32720522455559276
ARG,Argentina,119167267732.826,26503226051.957,145675636678.995,ARG,543457.079921875,0.8147969753766615,0.3735753346165989,0.6707483609998179,543457.079921875,0.9128276182132121
ARM,Armenia,159262098.16799998,50342779.682,209606005.637,ARM,10645.4403982933,0.001088942277088742,0.0007096049638773756,0.0009651091146183983,10645.4403982933,0.01788080855437879
ATG,Antigua and Barbuda,0.0,0.0,0.0,ATG,1105.4584922222,0.0,0.0,0.0,1105.4584922222,0.0018568035632801436
AUS,Australia,358788591712.469,71473172689.956,430258574498.0,AUS,1063863.887697721,2.453189243059596,1.007447710381231,1.9810809839574512,1063863.887697721,1.786938425477433
AUT,Austria,114755476316.175,45216373571.192,159970034284.792,AUT,300421.3343858593,0.7846316928232397,0.6373458783429841,0.7365654322970292,300421.3343858593,0.5046081857417358
AZE,Azerbaijan,2889269887.1029997,25108094.692,2914377980.795,AZE,28168.4715037016,0.01975515936420106,0.00035391030728715945,0.013418951161063092,28168.4715037016,0.04731368805633565
BDI,Burundi,924669.0,0.0,924669.0,BDI,3425.022338792,6.322352763123934e-06,0.0,4.2575425126442596e-06,3425.022338792,0.005752901377779441
BEL,Belgium,219249469760.854,216318406335.133,435567945141.98596,BEL,374582.8476014124,1.4991012902519636,3.0491088470495695,2.0055274304503645,374582.8476014124,0.6291749270221563
