UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,COUNTRY_NAME,CONS_2017_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2017_y,SHARE_OF_CONS_2017
338011625.32604855,32161303.650770932,387320078.66762567,ABW,Aruba,2416.9106145251,0.00194731630273694,0.00044620323394978353,0.0015658081777292744,2416.9106145251,0.004059608092709611
344369561.2602079,207109049.78593132,612340545.5335426,AFG,Afghanistan,17932.9562962523,0.0019839449609507006,0.0028734136152635116,0.0024754922002750497,17932.9562962523,0.030121417841833708
4296156468.458666,2293913484.2510257,10333983383.33437,AGO,Angola,85631.1940353788,0.024750555612010196,0.031825563608622195,0.04177690902523275,85631.1940353788,0.14383200032522367
287713843.8633585,77198052.30544817,261653652.2848255,ALB,Albania,11861.8108936773,0.0016575461217873439,0.001071039313808718,0.0010577799888135692,11861.8108936773,0.01992390749114454
77917282.38912404,828654.6334705342,60179472.39133119,AND,Andorra,2309.5976650632,0.00044888868575138383,1.149668500061445e-05,0.00024328588986640543,2309.5976650632,0.0038793579355586123
168482344852.15054,85942486587.31375,264490993051.37134,ARE,United Arab Emirates,194803.4791281144,0.9706424047914429,1.1923588628543067,1.069250427915371,194803.4791281144,0.32720522455559276
116429490401.94048,12728417507.658157,125911163188.87575,ARG,Argentina,543457.079921875,0.6707610856885532,0.17659299873697662,0.5090175796378766,543457.079921875,0.9128276182132121
139599882.63360184,14512461.02544705,152706510.7357217,ARM,Armenia,10645.4403982933,0.0008042478629258756,0.00020134466912287126,0.0006173423906269652,10645.4403982933,0.01788080855437879
86693.93305450057,15902.996544512684,233392.753114791,ATG,Antigua and Barbuda,1105.4584922222,4.994517837147415e-07,2.206368424833331e-07,9.435304327806217e-07,1105.4584922222,0.0018568035632801436
395280982945.05884,107660091483.7629,503815409304.5977,AUS,Australia,1063863.887697721,2.2772503800965462,1.4936670947489106,2.0367606313333617,1063863.887697721,1.786938425477433
154867771570.74774,69537796886.30376,217272148663.04456,AUT,Austria,300421.3343858593,0.8922075862253391,0.9647615715250447,0.8783601106859997,300421.3343858593,0.5046081857417358
2544315363.7042103,254101802.54077283,2048298933.2472517,AZE,Azerbaijan,28168.4715037016,0.014658036634882143,0.0035253871322297697,0.00828060148894309,28168.4715037016,0.04731368805633565
5320302.652477637,2957017.9393829424,8921513.597260688,BDI,Burundi,3425.022338792,3.065075670302953e-05,4.102541929666355e-05,3.606675645726429e-05,3425.022338792,0.005752901377779441
282167057321.0399,185160071518.02673,452132199697.0529,BEL,Belgium,374582.8476014124,1.6255905704028617,2.5688953285864793,1.8278223482131737,374582.8476014124,0.6291749270221563
402974953.764188,11067988.405092642,402791915.52563137,BEN,Benin,10555.709206588,0.0023215760591154856,0.0001535563443975214,0.0016283557450025624,10555.709206588,0.017730089918022895
1576933907.6584017,120972297.26172045,1679705184.1045802,BFA,Burkina Faso,11892.4700434489,0.009084862403060156,0.001678359523066793,0.0067904977260479045,11892.4700434489,0.019975404692480984
14621978096.203413,12333343394.631111,26370046847.376774,BGD,Bangladesh,183416.3463266789,0.08423857107735122,0.17111177357282553,0.10660545960530887,183416.3463266789,0.30807861879878456
8695797672.175432,3243486407.037312,11305566986.869188,BGR,Bulgaria,44922.4844541548,0.05009729637551667,0.04499985883058321,0.04570470320774915,44922.4844541548,0.0754548721573396
3029727205.8900595,755030197.5631477,4048179909.4707327,BHR,Bahrain,20832.0725292553,0.017454539249010515,0.01047522574148964,0.016365465041145173,20832.0725292553,0.03499097141591875
1600636344.3675945,329716875.68415004,2490911441.059904,BHS,Bahamas,9844.6347,0.009221414337846064,0.004574464325688486,0.010069938841869332,9844.6347,0.01653572062520925
1248794468.6191742,355768675.3133521,1521845468.6891088,BIH,Bosnia and Herzegovina,17488.4189956358,0.007194420680543464,0.004935904812398455,0.0061523226172803735,17488.4189956358,0.02937474263909824
1351258990.3843749,1708820648.2342336,3155764837.888637,BLR,Belarus,38367.3499769278,0.007784728287546773,0.023708034592186164,0.012757723294786544,38367.3499769278,0.06444442071051215
