UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,COUNTRY_NAME,CONS_2016_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2016_y,SHARE_OF_CONS_2016
321027955.8922615,41830948.21054698,433356726.0444458,ABW,Aruba,2327.9497206704,0.0025802496943555064,0.0007532905473722887,0.002389054972840547,2327.9497206704,0.004139526522496963
82426274.92337671,88226379.33332051,190576016.0789972,AFG,Afghanistan,18591.8631238794,0.0006624979749404821,0.001588778175578515,0.0010506276966634003,18591.8631238794,0.03305978209949
2978269994.9997168,1847584665.7856004,9491223736.10518,AGO,Angola,70692.1076939498,0.02393772910819396,0.033271253073229895,0.052324225983650066,70692.1076939498,0.12570368343094848
84467397.27802297,44126490.75842804,108983699.84917456,ALB,Albania,10939.7727699116,0.00067890341638274,0.0007946286134784188,0.0006008169123387005,10939.7727699116,0.019452945709711414
15908.935354087562,0.0,11638.32445412911,AND,Andorra,2236.3782152844,1.2786744839967205e-07,0.0,6.416099079956868e-08,2236.3782152844,0.00397669539608365
83392269924.6639,54547979886.86588,136255199280.9303,ARE,United Arab Emirates,173959.2056623554,0.67026212214658,0.9822984987146313,0.7511621300741049,173959.2056623554,0.3093317434125889
81856836767.09767,9507194329.34466,88722489911.50848,ARG,Argentina,464850.7633813206,0.6579211379338433,0.17120529002307094,0.4891187628737654,464850.7633813206,0.8265909039761351
3534447.4739501798,6183773.244595049,24891543.785428576,ARM,Armenia,9465.9816118999,2.8407983937187624e-05,0.00011135721592542421,0.0001372247455463684,9465.9816118999,0.016832271589028926
259565018774.1109,80500520483.49875,338514209611.79443,AUS,Australia,987167.8585509878,2.0862437306925683,1.4496511251322641,1.8661970779410497,987167.8585509878,1.755367607961716
66347795388.103,37091784417.52604,100463200677.21051,AUT,Austria,284465.1076590921,0.5332678217867353,0.6679478181144429,0.5538441998030775,284465.1076590921,0.505831740017416
1317969447.547855,161289024.5918415,1126631039.4291348,AZE,Azerbaijan,27090.2522967973,0.01059312811170419,0.0029044882513396438,0.006211011219031213,27090.2522967973,0.048171494808501504
202348038023.79248,171790348311.37302,368978211025.4548,BEL,Belgium,354680.9079498587,1.6263644759945735,3.0935957956631306,2.0341422595798417,354680.9079498587,0.6306884605131982
1921549.1374192387,692050.7702593625,3601766.6395642236,BEN,Benin,9870.745148741,1.5444376365088376e-05,1.2462430947397175e-05,1.9856201563557987e-05,9870.745148741,0.017552016255855705
809381503.2919765,42873289.87929098,794493564.4175642,BFA,Burkina Faso,10942.4562224413,0.006505372314637301,0.0007720610070387788,0.00437996848067133,10942.4562224413,0.019457717386187037
6361727011.772893,6552835976.448697,11860979282.854397,BGD,Bangladesh,165285.9150151391,0.05113213312553089,0.11800328729567947,0.06538846598069359,165285.9150151391,0.2939090234317049
