AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,CODE,CONTINENT_NAME,CONTINENT_CODE
United States,7799962588384,2718649216481,10518611804865,USA,America,AMR
Algeria,1861385078,640700333,2502085411,DZA,Africa,AFR
Angola,1150205281,4837765410,5987970691,AGO,Africa,AFR
Botswana,268124408,8630334,276754742,BWA,Africa,AFR
Cameroon,79788926,6461430,86250356,CMR,Africa,AFR
Congo,150066676,357560929,507627605,COG,Africa,AFR
Cote D'Ivoire (Ivory Coast),220606634,974604214,1195210848,CIV,Africa,AFR
Egypt,8767917284,1534529740,10302447024,EGY,Africa,AFR
Equatorial Guinea,1453656405,996256824,2449913229,GNQ,Africa,AFR
Gabon,164742260,17355153,182097413,GAB,Africa,AFR
Ghana,1440613079,587065014,2027678093,GHA,Africa,AFR
Kenya,767356551,286293579,1053650130,KEN,Africa,AFR
Libya,68428152,4444881,72873033,LBY,Africa,AFR
Mauritius,547541520,3157899123,3705440643,MUS,Africa,AFR
Morocco,1460472297,1311950999,2772423296,MAR,Africa,AFR
Mozambique,124233254,256287264,380520518,MOZ,Africa,AFR
Namibia,70589448,1982338,72571786,NAM,Africa,AFR
Nigeria,3645309367,7076611353,10721920720,NGA,Africa,AFR
Senegal,49085128,86120487,135205615,SEN,Africa,AFR
South Africa,23237577897,5810363430,29047941327,ZAF,Africa,AFR
Tanzania,81276128,207166857,288442985,TZA,Africa,AFR
Tunisia,326719479,218319525,545039004,TUN,Africa,AFR
Uganda,142649694,18602994,161252688,UGA,Africa,AFR
Zambia,342266764,181502523,523769287,ZMB,Africa,AFR
Zimbabwe,50516927,264014632,314531559,ZWE,Africa,AFR
Other Africa,1685594283,964810394,2650404677,OAFR,Africa,AFR
Argentina,24958390377,8436916440,33395306816,ARG,America,AMR
Aruba,360224979,251287953,611512932,ABW,America,AMR
Bahamas,1668864600,15090141560,16759006160,BHS,America,AMR
Barbados,169456556,8508330063,8677786619,BRB,America,AMR
Bermuda,10284076940,65875412371,76159489311,BMU,America,AMR
Bolivia,533624155,218602926,752227081,BOL,America,AMR
Brazil,119670358006,21894347981,141564705987,BRA,America,AMR
Canada,266641951018,94130628152,360772579170,CAN,America,AMR
Chile,24130621383,4678723707,28809345090,CHL,America,AMR
Colombia,15749650544,4551550288,20301200832,COL,America,AMR
Costa Rica,4736210202,4685525427,9421735629,CRI,America,AMR
Curacao,341730743,286720869,628451612,CUW,America,AMR
Dominican Republic,1405829625,1390776393,2796606018,DOM,America,AMR
Ecuador,3030046516,847361181,3877407697,ECU,America,AMR
El Salvador,2420676574,1116786446,3537463020,SLV,America,AMR
Guatemala,3446896897,601213652,4048110549,GTM,America,AMR
Honduras,2088655741,1599231791,3687887532,HND,America,AMR
Jamaica,266704761,114570915,381275676,JAM,America,AMR
Mexico,104164919428,61636103729,165801023157,MEX,America,AMR
Nicaragua,1241106629,120432078,1361538707,NIC,America,AMR
Panama,4224603254,8352906954,12577510208,PAN,America,AMR
Paraguay,524598623,1267410043,1792008666,PRY,America,AMR
Peru,8420877652,3187831980,11608709632,PER,America,AMR
Puerto Rico,14233052383,83602561978,97835614361,PRI,America,AMR
St. Kitts and Nevis,144016287,41549110,185565397,KNA,America,AMR
St. Lucia Island,114486431,5606326,120092757,LCA,America,AMR
Trinidad and Tobago,1075522034,664525204,1740047238,TTO,America,AMR
Uruguay,2263163525,1604981120,3868144645,URY,America,AMR
Venezuela,1177471338,877640209,2055111547,VEN,America,AMR
Virgin Islands,422526798,39198920,461725718,VIR,America,AMR
Other Americas,1394982022,1841294080,3236276102,OAMR,America,AMR
Armenia,2436042,31969704,34405746,ARM,Asia-Pacific,APAC
Australia,94441710544,19782950682,114224661226,AUS,Asia-Pacific,APAC
Azerbaijan,1389766106,19014123,1408780229,AZE,Asia-Pacific,APAC
Bahrain,726503262,695247257,1421750519,BHR,Asia-Pacific,APAC
Bangladesh,1277886068,16906050,1294792118,BGD,Asia-Pacific,APAC
Brunei,187583305,5874987,193458292,BRN,Asia-Pacific,APAC
Burma,323916766,15906371,339823137,MMR,Asia-Pacific,APAC
Cambodia,302352105,15970778,318322883,KHM,Asia-Pacific,APAC
China,164914999657,88593913461,253508913118,CHN,Asia-Pacific,APAC
Fiji,214764413,133343078,348107491,FJI,Asia-Pacific,APAC
Georgia,182729469,12517303,195246772,GEO,Asia-Pacific,APAC
Guam,662409405,136488200,798897605,GUM,Asia-Pacific,APAC
Hong Kong,91709474638,46346430070,138055904708,HKG,Asia-Pacific,APAC
India,45888215011,35521146678,81409361689,IND,Asia-Pacific,APAC
Indonesia,9207162229,8584525993,17791688222,IDN,Asia-Pacific,APAC
Iraq,1621669767,527711460,2149381227,IRQ,Asia-Pacific,APAC
Israel,6200318876,10077508359,16277827236,ISR,Asia-Pacific,APAC
Japan,179713300785,24670537757,204383838542,JPN,Asia-Pacific,APAC
Jordan,720500700,330171237,1050671937,JOR,Asia-Pacific,APAC
Kazakhstan,1817478969,176665405,1994144374,KAZ,Asia-Pacific,APAC
Korea,40711510263,14080679179,54792189442,KOR,Asia-Pacific,APAC
Kuwait,1109030094,439771720,1548801814,KWT,Asia-Pacific,APAC
Lebanon,267226425,44206960,311433385,LBN,Asia-Pacific,APAC
Macau,8502211371,1300456567,9802667938,MAC,Asia-Pacific,APAC
Malaysia,17351934788,21902987519,39254922307,MYS,Asia-Pacific,APAC
New Zealand,10489625745,1275926553,11765552298,NZL,Asia-Pacific,APAC
Oman,977082617,1089092601,2066175218,OMN,Asia-Pacific,APAC
Pakistan,2037917783,193620828,2231538611,PAK,Asia-Pacific,APAC
Papua-New Guinea,1208939994,235656298,1444596292,PNG,Asia-Pacific,APAC
Philippines,8342419506,10209249892,18551669398,PHL,Asia-Pacific,APAC
Qatar,2893442539,787435009,3680877548,QAT,Asia-Pacific,APAC
Saudi Arabia,9659270405,1707518647,11366789052,SAU,Asia-Pacific,APAC
Singapore,134489297863,174698176378,309187474241,SGP,Asia-Pacific,APAC
Sri Lanka,674355893,58298463,732654356,LKA,Asia-Pacific,APAC
Taiwan,23142493010,8271430812,31413923822,TWN,Asia-Pacific,APAC
Thailand,27241311800,18938180845,46179492645,THA,Asia-Pacific,APAC
United Arab Emirates,19339638719,9294269844,28633908563,ARE,Asia-Pacific,APAC
Vietnam,5200622455,1836490199,7037112654,VNM,Asia-Pacific,APAC
Other Asia and Oceania,1264853140,91903083,1356756223,OASIAOCN,Asia-Pacific,APAC
Albania,20775779,3115111,23890890,ALB,Europe,EUR
Austria,13325350907,3692332996,17017683903,AUT,Europe,EUR
Belarus,103140516,55617037,158757553,BLR,Europe,EUR
Belgium,54072926947,71632254002,125705180949,BEL,Europe,EUR
Bosnia-Herzegovina,81630841,12024842,93655683,BIH,Europe,EUR
Bulgaria,1623127369,861445567,2484572936,BGR,Europe,EUR
Croatia,504229094,204778272,709007366,HRV,Europe,EUR
Cyprus,521797926,509819676,1031617602,CYP,Europe,EUR
Czech Republic,8296643199,5644022084,13940665283,CZE,Europe,EUR
Denmark,10494193789,5246183446,15740377235,DNK,Europe,EUR
Estonia,269566001,253847345,523413346,EST,Europe,EUR
Finland,6007117891,3986343309,9993461200,FIN,Europe,EUR
France,115219748226,43797740545,159017488772,FRA,Europe,EUR
Germany,179120251177,119650489647,298770740824,DEU,Europe,EUR
Greece,3808739849,613381185,4422121034,GRC,Europe,EUR
