PARENT_COUNTRY_CODE,PARENT_COUNTRY_NAME,AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,RELATED_PARTY_REVENUES,TOTAL_REVENUES,UNRELATED_PARTY_REVENUES,NB_AFFILIATE_COUNTRIES,CONTINENT_CODE
AUS,Australia,ARE,United Arab Emirates,18265314.57,132218351.41,113953035.83,60,APAC
AUS,Australia,ARG,Argentina,43578028.15,708912689.66,665334660.5,60,AMR
AUS,Australia,AUS,Australia,63295758010.54,472918958984.89,409623200978.6,60,APAC
AUS,Australia,AUT,Austria,2775287.3,100271030.59,97495742.54,60,EUR
AUS,Australia,BEL,Belgium,176125918.58,1091712065.86,915586147.28,60,EUR
AUS,Australia,BMU,Bermuda,3653739723.61,3836627572.89,182887848.53,60,AMR
AUS,Australia,BRA,Brazil,470846559.24,1235936486.11,765089927.12,60,AMR
AUS,Australia,CAN,Canada,492033271.36,3206982024.26,2714948752.63,60,AMR
AUS,Australia,CHE,Switzerland,4469744692.84,5376022659.64,906277966.81,60,EUR
AUS,Australia,CHL,Chile,218428673.07,7100643609.14,6882214937.08,60,AMR
AUS,Australia,CHN,China (People's Republic of),362283222.35,1977352077.88,1615068855.3,60,APAC
AUS,Australia,COL,Colombia,377641684.7,599640987.49,221999301.79,60,AMR
AUS,Australia,CZE,Czech Republic,16247800.38,73319725.22,57071925.82,60,EUR
AUS,Australia,DEU,Germany,3131050649.55,5705143166.65,2574092519.59,60,EUR
AUS,Australia,DNK,Denmark,14150296.81,147129058.73,132978762.66,60,EUR
AUS,Australia,ECU,Ecuador,7591855.54,189477686.58,181885830.05,60,AMR
AUS,Australia,ESP,Spain,31832125.78,367421719.49,335589592.98,60,EUR
AUS,Australia,FIN,Finland,1875767.18,52677663.18,50801896.0,60,EUR
AUS,Australia,FJI,Fiji,5191113.65,152697210.18,147506097.26,60,APAC
AUS,Australia,FRA,France,174119018.17,3130860133.5,2956741115.35,60,EUR
AUS,Australia,GBR,United Kingdom,10548410820.83,25863049125.64,15314638307.27,60,EUR
AUS,Australia,GGY,Guernsey,121931791.39,128604236.39,6672445.0,60,EUR
AUS,Australia,HKG,"Hong Kong, China",1191931820.97,4409530329.56,3217598507.85,60,APAC
AUS,Australia,IDN,Indonesia,181647911.35,2521506456.45,2339858545.1,60,APAC
