PARENT_COUNTRY_CODE,PARENT_COUNTRY_NAME,AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,RELATED_PARTY_REVENUES,TOTAL_REVENUES,UNRELATED_PARTY_REVENUES,NB_AFFILIATE_COUNTRIES,CONTINENT_CODE
AUS,Australia,ARE,United Arab Emirates,27573872.0,171618782.0,144044909.0,79,APAC
AUS,Australia,ARG,Argentina,43747367.0,882615937.0,838868571.0,79,AMR
AUS,Australia,AUS,Australia,54801394828.0,519559317040.0,464757922213.0,79,APAC
AUS,Australia,AUT,Austria,115815108.0,283834932.0,168019825.0,79,EUR
AUS,Australia,BEL,Belgium,203435534.0,1204169252.0,1000733719.0,79,EUR
AUS,Australia,BGR,Bulgaria,3524494.0,21935068.0,18410575.0,79,EUR
AUS,Australia,BMU,Bermuda,3373196881.0,3624509606.0,251312723.0,79,AMR
AUS,Australia,BRA,Brazil,488914567.0,1931343430.0,1442428862.0,79,AMR
AUS,Australia,CAN,Canada,635205497.0,4262189068.0,3626983570.0,79,AMR
AUS,Australia,CHE,Switzerland,4543202565.0,5460243044.0,917040479.0,79,EUR
AUS,Australia,CHL,Chile,256129267.0,7410964035.0,7154834770.0,79,AMR
AUS,Australia,CHN,China (People's Republic of),603557586.0,2421733278.0,1818175692.0,79,APAC
AUS,Australia,COL,Colombia,380189980.0,689034949.0,308844968.0,79,AMR
AUS,Australia,CYP,Cyprus,0.0,133654.0,133654.0,79,EUR
AUS,Australia,CZE,Czech Republic,27413226.0,100333440.0,72920216.0,79,EUR
AUS,Australia,DEU,Germany,3232072699.0,6068430990.0,2836358293.0,79,EUR
AUS,Australia,DNK,Denmark,13918956.0,146780245.0,132861288.0,79,EUR
AUS,Australia,ECU,Ecuador,6499996.0,164740331.0,158240335.0,79,AMR
AUS,Australia,EGY,Egypt,533782.0,14301005.0,13767222.0,79,AFR
AUS,Australia,ESP,Spain,46720003.0,635095967.0,588375964.0,79,EUR
AUS,Australia,FIN,Finland,1905148.0,75908521.0,74003373.0,79,EUR
AUS,Australia,FJI,Fiji,21689154.0,311004075.0,289314922.0,79,APAC
AUS,Australia,FRA,France,239872437.0,3292894980.0,3053022542.0,79,EUR
AUS,Australia,GBR,United Kingdom,8365989642.0,24966280471.0,16600290831.0,79,EUR
AUS,Australia,GGY,Guernsey,121981926.0,128795874.0,6813948.0,79,EUR
AUS,Australia,GHA,Ghana,906235.0,26662187.0,25755952.0,79,AFR
AUS,Australia,GRC,Greece,395569.0,25787988.0,25392418.0,79,EUR
AUS,Australia,HKG,"Hong Kong, China",1544641025.0,4634057619.0,3089416592.0,79,APAC
AUS,Australia,HUN,Hungary,6433916.0,21828456.0,15394540.0,79,EUR
AUS,Australia,IDN,Indonesia,203618200.0,3100643277.0,2897025077.0,79,APAC
AUS,Australia,IND,India,382346658.0,811008432.0,428661773.0,79,APAC
AUS,Australia,IRL,Ireland,141994633.0,1089346468.0,947351832.0,79,EUR
AUS,Australia,ITA,Italy,107359342.0,651433047.0,544073706.0,79,EUR
AUS,Australia,JEY,Jersey,33146338.0,173947995.0,140801657.0,79,EUR
AUS,Australia,JPN,Japan,268698595.0,849867052.0,581168454.0,79,APAC
AUS,Australia,KAZ,Kazakhstan,701300.0,352049213.0,351347912.0,79,APAC
AUS,Australia,KOR,Korea,-153204643.0,403644229.0,556848872.0,79,APAC
AUS,Australia,LUX,Luxembourg,56365155.0,279237734.0,222872579.0,79,EUR
AUS,Australia,MAR,Morocco,33411.0,19269516.0,19236105.0,79,AFR
AUS,Australia,MEX,Mexico,87716843.0,729799997.0,642083155.0,79,AMR
AUS,Australia,MLT,Malta,-833909.0,27461522.0,28295431.0,79,EUR
AUS,Australia,MMR,Myanmar,309844.0,5495350.0,5185506.0,79,APAC
AUS,Australia,MOZ,Mozambique,435813021.0,483914262.0,48101241.0,79,AFR
AUS,Australia,MUS,Mauritius,742183.0,49579634.0,48837451.0,79,AFR
AUS,Australia,MYS,Malaysia,882546804.0,1413862300.0,531315498.0,79,APAC
AUS,Australia,NAM,Namibia,338838.0,3528691.0,3189852.0,79,AFR
AUS,Australia,NCL,New Caledonia,1229966.0,68254693.0,67024729.0,79,APAC
