AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
ABW,ABW,Aruba,284344671.9223518,7571442.761330311,253711295.82876882
ABW,ARE,Aruba,218632.35252518277,84747.65206346624,382721.8238926723
ABW,AUS,Aruba,710525.1284216839,275418.2337167815,1243793.3815847312
ABW,BRA,Aruba,298390.82730439125,115664.13533609877,522341.18299406784
ABW,CAN,Aruba,1394615.753076567,540589.7582808487,2441312.45207837
ABW,CHE,Aruba,512181.12852199725,198534.88091821203,896586.8656093223
ABW,CHN,Aruba,1444239.5616702267,559825.2520958601,2528180.2660780326
ABW,COL,Aruba,280212.8410321168,108617.8695935219,490520.12823951355
ABW,CUW,Aruba,288412.6000965879,111796.31194285359,504874.0274149496
ABW,CYP,Aruba,1793035.9070363857,695027.8924036117,3138757.666557949
ABW,DEU,Aruba,1156953.0577863203,448465.44467267185,2025277.5004247495
ABW,DOM,Aruba,282871.5268610875,109648.44617094644,495174.2294183593
ABW,ESP,Aruba,334297.91263028356,129582.66632506302,585197.5033321679
ABW,FRA,Aruba,658521.5819419301,255260.29088613458,1152759.7722961595
ABW,GBR,Aruba,934568.8526293251,362263.47581774346,1635987.9574107346
ABW,HKG,Aruba,667836.2367395454,258870.89615457796,1169065.3264920479
ABW,IND,Aruba,680729.612756525,263868.7079239252,1191635.528606962
ABW,IRL,Aruba,278507.5400213621,107956.85005522522,487534.95287281263
ABW,ITA,Aruba,634153.286637775,245814.4984955575,1110102.4147905395
ABW,JOR,Aruba,207247.56909708373,80334.61047269197,362792.45375188655
ABW,JPN,Aruba,748779.7782561992,290246.7424737909,1310759.176847602
ABW,KOR,Aruba,898130.5005577791,348139.0118605175,1572201.640319996
ABW,MEX,Aruba,398682.4131881849,154539.79269972703,697904.3063251079
ABW,NLD,Aruba,2304133.081149961,893142.6040742415,4033447.040769423
ABW,NOR,Aruba,223419.29747343593,86603.1978700952,391101.5000033168
ABW,OAFR,Aruba,1568785.6459860767,608102.5911884402,2746201.542423958
ABW,OASIAOCN,Aruba,185212.7256973345,71793.32543346239,324219.86667710735
ABW,SAU,Aruba,217454.7341066297,84291.17618125405,380660.37112142105
ABW,SGP,Aruba,1917983.1645280633,743460.7367740227,3357481.2073573107
ABW,SLV,Aruba,364113.58915860957,141140.0069989159,637390.6484441225
ABW,THA,Aruba,184555.42555568734,71538.53860497064,323069.24506895745
ABW,TWN,Aruba,224617.4407707411,87067.62973532199,393198.88212784287
ABW,USA,Aruba,13492170.977078592,23456606.611804783,66951701.31936813
ABW,VEN,Aruba,589138.0273545377,228365.39964435666,1031301.990530833
AGO,AGO,Angola,628550810.9593503,1167273024.6121662,5319905210.682107
AGO,ARE,Angola,2013161.6462083203,55606021.627059184,22116753.367546987
AGO,BEL,Angola,475317.6919999844,13128864.197693931,5221877.828337831
AGO,BRA,Angola,624077.4018163154,17237791.89203069,6856163.788053158
AGO,CAN,Angola,333287.6609264536,9205818.577168835,3661524.652548557
AGO,CHN,Angola,33847407.43655233,934907374.915314,371850300.1559964
AGO,COG,Angola,523571.4671375459,14461693.316975113,5751997.625613208
AGO,DEU,Angola,508552.47318286507,14046850.075632025,5586997.767926677
AGO,ESP,Angola,1867530.7531939028,51583515.73351622,20516840.837143954
AGO,FRA,Angola,1004283.196296239,27739547.511309028,11033134.773598438
AGO,HKG,Angola,350162.3718032532,9671919.02157825,3846911.5633879164
AGO,IDN,Angola,650574.0927700633,17969663.360471703,7147258.534460578
AGO,IND,Angola,6854005.50582076,189316133.2109014,75298647.59621029
AGO,ITA,Angola,783893.2807340977,21652104.69010497,8611913.697604427
AGO,JPN,Angola,690669.5686022617,19077150.134060744,7587750.609106137
AGO,KOR,Angola,431228.6818187825,11911071.052136531,4737512.468887701
AGO,PRT,Angola,752456.9242967985,20783793.53425678,8266551.394777157
AGO,THA,Angola,521824.7902682418,14413447.935411772,5732808.495120902
AGO,TWN,Angola,2438235.463714639,67347087.69290212,26786648.009388432
AGO,USA,Angola,2527597.9027872034,2812761306.689788,293993985.6465861
AGO,ZAF,Angola,2192662.73071959,60564064.219522424,24088766.50559788
ALB,ALB,Albania,43909962.75951771,620761.5325694641,34422159.29594371
ALB,AUT,Albania,237016.9287087291,32222.06668541889,349639.06578127656
ALB,BGR,Albania,148551.8087883367,20195.377246237575,219138.42157958902
ALB,CAN,Albania,126153.65452261239,17150.384534905188,186097.44946271277
ALB,CHE,Albania,324299.2163564727,44087.95199733977,478394.83727265615
ALB,CHN,Albania,1326258.4606570136,180302.6846825284,1956449.9957658686
ALB,CZE,Albania,175169.09768363414,23813.95446113061,258403.31322122726
ALB,DEU,Albania,1745679.5531758985,237322.30132359505,2575165.2907289513
ALB,ESP,Albania,907698.8415354767,123400.18395131805,1339005.5161638872
ALB,FRA,Albania,1038884.2140210688,141234.62237481528,1532525.5796037351
ALB,GBR,Albania,224313.4635666656,30495.051222120514,330899.35926050553
ALB,GRC,Albania,1492080.5304673736,202845.92587822292,2201064.9010820244
ALB,HUN,Albania,144015.00857173163,19578.606621817245,212445.89291502503
ALB,IND,Albania,275566.1235857352,37462.76714830676,406505.48691350006
ALB,ITA,Albania,7132042.8730892,969589.6504606217,10520939.668083215
ALB,JPN,Albania,141730.00150499726,19267.963620567956,209075.13057973873
ALB,MKD,Albania,1048801.4248328165,142582.8510851037,1547155.1013947153
ALB,NLD,Albania,119015.61531570567,16179.979692596502,175567.66421315362
ALB,OEUR,Albania,943174.9423994218,128223.10227198138,1391338.6167200725
ALB,POL,Albania,201859.3022747856,27442.444446503887,297775.7675416922
ALB,ROU,Albania,241249.1203748118,32797.426271896264,355882.246588648
ALB,SAU,Albania,111743.8987595974,15191.401631675255,164840.6828234471
ALB,SRB,Albania,265996.9805856553,36161.8576919624,392389.4225585064
