PARENT_COUNTRY_CODE,AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
AUS,ARE,AUS,310232.25220788934,273889.4006062471,592132.1135809595
AUS,ARE,BEL,342797.74916053534,302639.9395245148,654289.0182971809
AUS,ARE,BHR,185433.16919025683,163710.1855161166,353931.39694277773
AUS,ARE,CHE,1190259.4894864438,1050823.8773410465,2271816.8797843596
AUS,ARE,CHN,1934116.6685996277,1707540.2421741888,3691597.4491350367
AUS,ARE,DEU,373001.57145839516,329305.4674517496,711938.256918157
AUS,ARE,EGY,164627.4234052111,145341.77539216363,314220.01897143875
AUS,ARE,FRA,327218.73654745653,288885.96521569917,624553.768011517
AUS,ARE,GBR,659724.9671545604,582440.0091640231,1259199.636411706
AUS,ARE,HKG,627394.4621520813,553896.9335379193,1197491.2546299524
AUS,ARE,IDN,302143.79892443074,266748.4872876873,576693.8962317015
AUS,ARE,IND,3036209.02098626,2680525.5190422763,5795132.040834438
AUS,ARE,IRN,939887.1495800689,829781.9656206999,1793937.801268609
AUS,ARE,IRQ,213706.21568121083,188671.12269014982,407895.41472917725
AUS,ARE,ITA,332300.9457072191,293372.8076075411,634254.0465287041
AUS,ARE,JPN,2717543.936742454,2399191.1693848176,5186904.403266648
AUS,ARE,KEN,169421.69599836256,149574.4121910007,323370.7205618192
AUS,ARE,KOR,1309420.391947754,1156025.409156499,2499256.149971355
AUS,ARE,KWT,389711.29776603234,344057.69546841097,743831.670596082
AUS,ARE,LKA,198995.13579139818,175683.40518297264,379816.76472996356
AUS,ARE,MYS,413679.5281972516,365218.1138958285,789579.1995619708
AUS,ARE,NLD,311543.29570176883,275046.8589754264,594634.4677027586
AUS,ARE,NZL,189388.57004687728,167202.22208570983,361480.96618524694
AUS,ARE,OMN,1225769.8513896025,1082174.298413481,2339594.5705244313
AUS,ARE,PAK,1059537.3128963953,935415.4427331573,2022310.9107392742
AUS,ARE,QAT,386359.2426404723,341098.32434369787,737433.6914297905
AUS,ARE,RUS,188516.05753056254,166431.92200113073,359815.6245686535
AUS,ARE,SAU,1397284.8451396283,1233596.7843054368,2666960.7132682614
AUS,ARE,SGP,1277142.5131222839,1127528.7946961012,2437648.2143849926
AUS,ARE,THA,975225.545563444,860980.5661059485,1861387.265195315
AUS,ARE,TUR,711674.2033040747,628303.5357628253,1358353.7726474034
AUS,ARE,TWN,594574.2600224791,524921.5274507761,1134848.20086347
AUS,ARE,USA,1020801.6878548972,901217.5891920791,1948377.2453532144
AUS,ARE,ZAF,163013.71325266347,143917.10692752796,311139.97298481205
AUS,ARE,ARE,118406252.29484995,4938713.123555149,122682954.48318884
AUS,ARG,AUS,820578.9011914056,527144.8575097028,3030854.2492741235
AUS,ARG,BEL,411151.39474809787,264126.14690034103,1518610.7637644273
AUS,ARG,BGD,556611.5925354357,357570.6592130621,2055876.1722753046
AUS,ARG,BOL,1147551.8151253043,737194.2383492094,4238547.067302039
AUS,ARG,BRA,9957254.894016612,6396600.868817407,36777680.077831246
AUS,ARG,CAN,1475702.8897585692,948000.4767597419,5450591.488029972
AUS,ARG,CHE,1409490.8832799345,905465.4826599242,5206033.724117972
AUS,ARG,CHL,3063378.985494464,1967933.2194163057,11314762.299935421
AUS,ARG,CHN,5215907.03482505,3350730.279153691,19265245.520407088
AUS,ARG,COL,622393.8998600955,399829.6119730827,2298846.8182333284
AUS,ARG,DEU,1775651.641218755,1140689.3719033073,6558469.044481448
AUS,ARG,DNK,380337.179164797,244330.90812519312,1404796.728205997
AUS,ARG,DZA,1429328.6150592202,918209.3617395887,5279305.500387033
AUS,ARG,ECU,437536.1382675408,281075.86598621175,1616064.295528167
AUS,ARG,EGY,1459892.2314826904,937843.6140962348,5392193.933876809
AUS,ARG,ESP,2093002.140098521,1344557.2550157271,7730620.9321823055
AUS,ARG,FRA,720752.8150540764,463015.9749900448,2662140.99462129
AUS,ARG,GBR,1162147.0052349614,746570.2768989595,4292455.22153144
AUS,ARG,IDN,1205102.019941016,774164.8385842211,4451111.980388453
AUS,ARG,IND,2640964.704319372,1696571.7260403414,9754551.432711368
AUS,ARG,IRL,390285.0749270865,250721.49663108776,1441539.8398052533
AUS,ARG,ITA,1400112.3258446222,899440.6405445514,5171393.495599292
AUS,ARG,JPN,1024125.9005460019,657904.6830615398,3782666.52110461
AUS,ARG,KOR,735556.951131362,472526.241695275,2716820.902515007
AUS,ARG,MAR,573830.6699261324,368632.298848676,2119475.8015155885
AUS,ARG,MEX,916566.7104165594,588808.0076872134,3385390.6126222117
AUS,ARG,MYS,1195439.268046288,767957.4282263597,4415422.063675634
AUS,ARG,NLD,1430683.5254566367,919079.7643874603,5284309.938021773
AUS,ARG,PER,1200143.3968264791,770979.389054186,4432797.027474817
AUS,ARG,POL,783331.9307721035,503217.178055791,2893280.4725123476
AUS,ARG,PRY,1186859.9385520017,762446.0149823341,4383733.8284359425
AUS,ARG,RUS,704771.6283975163,452749.5638616611,2603113.584318451
AUS,ARG,SAU,858722.8625795447,551648.7693963137,3171741.112547766
AUS,ARG,THA,657027.7330483197,422078.5962383541,2426768.8258973975
AUS,ARG,TUR,671961.0601641523,431671.85604943614,2481925.908146414
AUS,ARG,URY,1189113.6857832114,763893.8358577355,4392058.170388415
AUS,ARG,USA,7403727.81681556,4756199.604168836,27346084.430740528
AUS,ARG,VNM,2471344.3702881155,1587606.5958330778,9128049.204326615
AUS,ARG,ZAF,551643.0415100852,354378.83193297323,2037524.5500656003
AUS,ARG,ARG,775538586.3282923,3063801.1693548383,648703082.4652011
AUS,AUS,ARE,885503382.3309115,104413110.9063822,989916493.2353884
AUS,AUS,BRA,662015251.6257967,78060765.51369922,740076017.1380715
AUS,AUS,CAN,617035680.4434533,72757051.21051832,689792731.652644
AUS,AUS,CHE,525163739.3566293,61924077.14707378,587087816.5025731
AUS,AUS,CHN,28831499162.746613,3399632999.427833,32231132162.11241
AUS,AUS,DEU,1269359442.9635592,149675055.95443162,1419034498.9152594
AUS,AUS,FRA,578277242.3550497,68186894.64710689,646464137.0009123
AUS,AUS,GBR,2378093226.4901814,280410122.3753934,2658503348.8604584
AUS,AUS,HKG,3128661411.6723027,368912505.00427914,3497573916.6698503
AUS,AUS,IDN,1924713438.8235986,226950367.170695,2151663805.9901524
AUS,AUS,IND,4868951124.183683,574116761.0099127,5443067885.18312
AUS,AUS,JPN,10956179164.616827,1291885240.7023683,12248064405.295622
AUS,AUS,KOR,5825070170.72866,686856436.5872309,6511926607.303357
AUS,AUS,MYS,1668830140.855207,196778182.96114877,1865608323.8127651
AUS,AUS,NLD,564841145.2385385,66602592.73887211,631443737.9761953
AUS,AUS,NZL,2329500523.0236354,274680369.74255997,2604180892.7611833
AUS,AUS,PHL,683402043.8676883,80582564.47555783,763984608.3417758
AUS,AUS,PNG,441874144.68359584,52103080.57103452,493977225.2536796
AUS,AUS,SAU,494931443.99273574,58359270.87781316,553290714.8694841
AUS,AUS,SGP,2409672281.7472873,284133730.2855061,2693806012.027609
AUS,AUS,THA,1465040102.1782067,172748515.39061219,1637788617.5656667
AUS,AUS,TUR,702724433.5432765,82860941.78775153,785585375.329516
AUS,AUS,TWN,2535779115.1004963,299003472.2195247,2834782587.314565
AUS,AUS,USA,4630678613.937808,546021132.5406501,5176699746.468494
AUS,AUS,VNM,1111105219.6697035,131014691.58101833,1242119911.248331
AUS,AUS,AUS,383269020566.8246,45192724895.17103,428461745461.17096
AUS,AUT,ARE,220400.66386380815,831870.9134781455,908202.7505000881
AUS,AUT,AUS,209459.82843201933,790576.2884742924,863118.9623765665
AUS,AUT,BEL,385435.77933912777,1454772.4504320426,1588261.2547539745
AUS,AUT,BRA,155505.42703422604,586933.0852728565,640789.6150323992
AUS,AUT,CAN,239057.296017638,902287.7142270869,985080.9428799751
AUS,AUT,CHE,1694314.388086188,6394948.3319494985,6981743.886318809
AUS,AUT,CHN,1006105.2337124114,3797400.9022979243,4145847.4966970906
AUS,AUT,CZE,904122.649443567,3412482.163636555,3725608.9097874593
AUS,AUT,DEU,9500032.354274366,35856519.00533984,39146685.6893102
AUS,AUT,DNK,169457.90156889864,639594.7131144621,698283.4334562053
AUS,AUT,ESP,391652.6518288503,1478237.1501581664,1613879.0573308454
AUS,AUT,FRA,1207596.66526808,4557901.611723226,4976131.16795743
AUS,AUT,GBR,883925.751876046,3336251.850467897,3642383.7615468632
